Training with only sequence
Train Epoch: 1 [100%] || Time: 0 min 3 || Loss: 0.827 || Reg: 0.000 || Acc: 0.303
Train Epoch: 2 [100%] || Time: 0 min 3 || Loss: 3.095 || Reg: 0.000 || Acc: 0.604
Train Epoch: 3 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.618
Train Epoch: 4 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.613
Train Epoch: 5 [100%] || Time: 0 min 3 || Loss: 3.183 || Reg: 0.000 || Acc: 0.607
Train Epoch: 6 [100%] || Time: 0 min 3 || Loss: 3.071 || Reg: 0.000 || Acc: 0.601
Train Epoch: 7 [100%] || Time: 0 min 3 || Loss: 2.963 || Reg: 0.000 || Acc: 0.595
Train Epoch: 8 [100%] || Time: 0 min 3 || Loss: 2.858 || Reg: 0.000 || Acc: 0.587
Train Epoch: 9 [100%] || Time: 0 min 3 || Loss: 2.757 || Reg: 0.000 || Acc: 0.580
Train Epoch: 10 [100%] || Time: 0 min 3 || Loss: 2.669 || Reg: 0.000 || Acc: 0.573
Train Epoch: 11 [100%] || Time: 0 min 3 || Loss: 2.564 || Reg: 0.000 || Acc: 0.565
Train Epoch: 12 [100%] || Time: 0 min 3 || Loss: 2.495 || Reg: 0.000 || Acc: 0.559
Train Epoch: 13 [100%] || Time: 0 min 3 || Loss: 2.385 || Reg: 0.000 || Acc: 0.550
Train Epoch: 14 [100%] || Time: 0 min 3 || Loss: 2.329 || Reg: 0.000 || Acc: 0.544
Train Epoch: 15 [100%] || Time: 0 min 3 || Loss: 2.247 || Reg: 0.000 || Acc: 0.536
Train Epoch: 16 [100%] || Time: 0 min 3 || Loss: 2.162 || Reg: 0.000 || Acc: 0.528
Train Epoch: 17 [100%] || Time: 0 min 3 || Loss: 2.093 || Reg: 0.000 || Acc: 0.519
Train Epoch: 18 [100%] || Time: 0 min 3 || Loss: 2.029 || Reg: 0.000 || Acc: 0.511
Train Epoch: 19 [100%] || Time: 0 min 3 || Loss: 1.969 || Reg: 0.000 || Acc: 0.504
Train Epoch: 20 [100%] || Time: 0 min 3 || Loss: 1.889 || Reg: 0.000 || Acc: 0.496
Train Epoch: 21 [100%] || Time: 0 min 3 || Loss: 1.833 || Reg: 0.000 || Acc: 0.487
Train Epoch: 22 [100%] || Time: 0 min 3 || Loss: 1.771 || Reg: 0.000 || Acc: 0.479
Train Epoch: 23 [100%] || Time: 0 min 3 || Loss: 1.711 || Reg: 0.000 || Acc: 0.470
Train Epoch: 24 [100%] || Time: 0 min 3 || Loss: 1.656 || Reg: 0.000 || Acc: 0.463
Train Epoch: 25 [100%] || Time: 0 min 3 || Loss: 1.594 || Reg: 0.000 || Acc: 0.453
Train Epoch: 26 [100%] || Time: 0 min 3 || Loss: 1.546 || Reg: 0.000 || Acc: 0.445
Train Epoch: 27 [100%] || Time: 0 min 3 || Loss: 1.493 || Reg: 0.000 || Acc: 0.436
Train Epoch: 28 [100%] || Time: 0 min 3 || Loss: 1.447 || Reg: 0.000 || Acc: 0.429
Train Epoch: 29 [100%] || Time: 0 min 3 || Loss: 1.410 || Reg: 0.000 || Acc: 0.420
Train Epoch: 30 [100%] || Time: 0 min 3 || Loss: 1.367 || Reg: 0.000 || Acc: 0.411
Train Epoch: 30 [100%] || Time: 0 min 3 || Loss: 1.367 || Reg: 0.000 || Acc: 0.411
Val Epoch: 30 [100%] || Time: 0 min 0 || Loss: 1.366 || Reg: 0.000 || Acc: 0.413
Train Epoch: 31 [100%] || Time: 0 min 3 || Loss: 1.322 || Reg: 0.000 || Acc: 0.403
Train Epoch: 32 [100%] || Time: 0 min 3 || Loss: 1.283 || Reg: 0.000 || Acc: 0.396
Train Epoch: 33 [100%] || Time: 0 min 3 || Loss: 1.247 || Reg: 0.000 || Acc: 0.387
Train Epoch: 34 [100%] || Time: 0 min 3 || Loss: 1.208 || Reg: 0.000 || Acc: 0.381
Train Epoch: 35 [100%] || Time: 0 min 3 || Loss: 1.169 || Reg: 0.000 || Acc: 0.371
Train Epoch: 36 [100%] || Time: 0 min 3 || Loss: 1.149 || Reg: 0.000 || Acc: 0.364
Train Epoch: 37 [100%] || Time: 0 min 3 || Loss: 1.112 || Reg: 0.000 || Acc: 0.356
Train Epoch: 38 [100%] || Time: 0 min 3 || Loss: 1.085 || Reg: 0.000 || Acc: 0.349
Train Epoch: 39 [100%] || Time: 0 min 3 || Loss: 1.052 || Reg: 0.000 || Acc: 0.341
